"","state","total_enrolled","women_enrollment_perc","minority_enrollment_perc","native_american_enrollment_perc","asian_enrollment_perc","black_enrollment_perc","hispanic_enrollment_perc","pac_island_enroll_perc","white_enrollment_perc","two_more_races_enroll_perc","nonresident_enroll_perc","tuition_4yr_public","tuition_4yr_private","tuition_2yr_public","state_funds","change_in_state_funds","need_based_grants","non_need_based_grants","non_grant_aid","total_aid","all_grad_rates","men_grad_rates","women_grad_rates","native_american_grad_rates","asian_grad_rates","black_grad_rates","hispanic_grad_rates","white_grad_rates","two_more_races_grad_rates","public_doctor_prof_avg_salary","public_doctor_assoc_avg_salary","public_doctor_assist_avg_salary","public_doctor_all_avg_salary","public_masters_prof_avg_salary","public_masters_assoc_avg_salary","public_masters_assist_avg_salary","public_masters_all_avg_salary","other_4yr_avg_salary","other_2yr_avg_salary"
"19","Louisiana","246,343",60.6,41.4,0.6,2.5,29.2,5.6,0.5,51.3,3,3,9483,37920,4158,1112604028,-8.3,28413000,303080000,317000,331810000,54.2,49.3,57.8,53,66.9,40.6,54.6,59.9,48.1,116783,83356,77737,82941,79915,67373,60172,60354,87010,48980
"20","Maine","71,658",58.8,12.8,0.8,2.4,3.8,3,0.1,74.2,2.8,2.1,9960,38906,3777,314428370,-1.4,14998000,825000,1722000,17545000,61.5,59.5,63.2,22.4,79.5,56.8,59.6,61.4,61.2,116500,89894,74610,90014,101555,85701,70117,79874,52941,59836
"21","Maryland","359,955",55.8,48.2,0.3,7.7,26.2,9.7,0.2,41.5,4.2,6.1,9154,46842,4320,2156413474,-1.5,102092000,3909000,2222000,108223000,71,69.2,72.7,72.4,82.5,53.8,73.4,76.6,66.9,159711,104767,90518,108795,105269,85304,76992,81838,124148,78836
"22","Massachusetts","492,497",57,30.8,0.2,8.1,8.1,11.3,0.1,50.4,3.1,12.5,13643,47302,5339,1752578550,4.1,100107000,1973000,43893000,145973000,76.1,73.4,78.2,64.1,83.6,64.6,71,76.2,75.4,154156,113463,94734,110480,104469,85005,71350,87478,90696,66891
"23","Michigan","525,491",55.3,25.1,0.5,4.4,10.7,5.6,0.1,65.3,3.8,5.3,13099,27112,3647,1999566600,12.8,120475000,1094000,70000,121639000,66.1,62.6,69.3,40.1,79.6,40.2,57.2,68.9,57,149007,101947,88730,104772,107197,89559,77909,84288,81079,82626
"24","Minnesota","402,729",62.5,29.5,0.7,5.5,13.7,6.1,0.2,60.5,3.4,3.7,11719,37896,5557,1709306000,0.5,218481000,3103000,80824000,302408000,67.1,64.5,69.2,39.1,67.2,49.1,57.4,68.8,58,154687,110251,98293,117916,99535,83265,70205,83625,69517,71908
"25","Mississippi","166,969",60.6,41.5,0.5,1.6,34.7,2.7,0.1,54.8,1.9,1.8,8602,19000,3434,962993443,0,23921000,17478000,764000,42162000,54.7,49.6,58.4,51.4,68.7,38,55.7,65.9,42.7,118832,87194,74822,83314,74619,64425,56065,59201,NA,53342
"26","Missouri","362,908",57.8,24.2,0.4,3.5,10.8,5.7,0.2,67.6,3.6,4.5,9057,25074,3517,923518968,-13.1,68345000,60603000,0,128949000,60,56,63.4,33.3,78.9,37.9,57.1,62.9,52.3,117130,87523,78058,88295,81884,69000,60984,65456,58965,62512
"27","Montana","48,066",54.8,17.8,6.7,2,0.9,4.1,0.2,75.8,3.9,2.5,6967,31153,3904,266829311,3.2,458000,0,816000,1274000,51.6,47.9,55.5,29.3,53.3,29.4,46.2,52.9,39.4,100550,78182,67989,79160,82112,69976,58990,64483,56407,54567
"28","Nebraska","135,509",56.4,22.3,0.7,3.1,4.9,10.5,0.2,68.8,3,3.8,8628,24165,3086,817103298,4.1,18974000,56000,2120000,21150000,59,53.4,64.3,27.3,69.4,35.4,50.6,61.7,44.9,130090,93681,91193,97227,84703,68049,59372,68457,110923,65041
