"","state","aid_type","amount"
"149","Oregon","Need-Based Grants",92770000
"150","Oregon","Non-Need-Based Grants",325000
"151","Oregon","Non-Grant Aid",82427000
"152","Oregon","Total Aid",175522000
"153","Pennsylvania","Need-Based Grants",389518000
"154","Pennsylvania","Non-Need-Based Grants",3232000
"155","Pennsylvania","Non-Grant Aid",23465000
"156","Pennsylvania","Total Aid",416216000
"157","Rhode Island","Need-Based Grants",10031000
"158","Rhode Island","Non-Need-Based Grants",0
"159","Rhode Island","Non-Grant Aid",0
"160","Rhode Island","Total Aid",10031000
"161","South Carolina","Need-Based Grants",71620000
"162","South Carolina","Non-Need-Based Grants",347468000
"163","South Carolina","Non-Grant Aid",2172000
"164","South Carolina","Total Aid",421261000
"165","South Dakota","Need-Based Grants",203000
"166","South Dakota","Non-Need-Based Grants",6203000
"167","South Dakota","Non-Grant Aid",651000
"168","South Dakota","Total Aid",7057000
"169","Tennessee","Need-Based Grants",110024000
"170","Tennessee","Non-Need-Based Grants",314480000
"171","Tennessee","Non-Grant Aid",29809000
"172","Tennessee","Total Aid",454313000
"173","Texas","Need-Based Grants",1021650000
"174","Texas","Non-Need-Based Grants",0
"175","Texas","Non-Grant Aid",180963000
"176","Texas","Total Aid",1202613000
"177","Utah","Need-Based Grants",2080000
"178","Utah","Non-Need-Based Grants",17171000
"179","Utah","Non-Grant Aid",159637000
"180","Utah","Total Aid",178888000
"181","Vermont","Need-Based Grants",20809000
"182","Vermont","Non-Need-Based Grants",83000
"183","Vermont","Non-Grant Aid",562000
"184","Vermont","Total Aid",21454000
"185","Virginia","Need-Based Grants",493839000
"186","Virginia","Non-Need-Based Grants",91608000
"187","Virginia","Non-Grant Aid",258569000
"188","Virginia","Total Aid",844016000
"189","Washington","Need-Based Grants",373272000
"190","Washington","Non-Need-Based Grants",12445000
"191","Washington","Non-Grant Aid",18013000
"192","Washington","Total Aid",403730000
"193","West Virginia","Need-Based Grants",41416000
"194","West Virginia","Non-Need-Based Grants",47769000
"195","West Virginia","Non-Grant Aid",34312000
"196","West Virginia","Total Aid",123497000
"197","Wisconsin","Need-Based Grants",122298000
"198","Wisconsin","Non-Need-Based Grants",3822000
"199","Wisconsin","Non-Grant Aid",8935000
"200","Wisconsin","Total Aid",135055000
"201","Wyoming","Need-Based Grants",18110000
"202","Wyoming","Non-Need-Based Grants",0
"203","Wyoming","Non-Grant Aid",0
"204","Wyoming","Total Aid",18110000
